id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,user_rt_id,near,geo
1149856922436325377,1149856922436325377,1562982228000,2019-07-13,09:43:48,CST,282737015,bdouble0hp,Boop🏆🌺,,Mugshots🍔🥤 & movie theater🍿 #Crawl #TGIF,[],[],[],0,0,1,"['#crawl', '#tgif']",[],https://twitter.com/Bdouble0hP/status/1149856922436325377,,,0,,,
1149856370721742848,1149856370721742848,1562982096000,2019-07-13,09:41:36,CST,948610594965467136,__msfreda01,Freda,,#Crawl Was Good!!,[],[],[],0,0,0,['#crawl'],[],https://twitter.com/__MsFreda01/status/1149856370721742848,,,0,,,
1149856062348103680,1149856062348103680,1562982023000,2019-07-13,09:40:23,CST,3181430202,pirelli913,Jeremy,,"So like, #Crawl is getting good reviews. I wanted to go see it before, but now I really wanna see it. #CrawlMovie @Chris_Stuckmann https://www.youtube.com/watch?v=1_qzsKRr1N0 …",['chris_stuckmann'],['https://www.youtube.com/watch?v=1_qzsKRr1N0'],[],0,0,0,"['#crawl', '#crawlmovie']",[],https://twitter.com/Pirelli913/status/1149856062348103680,,,0,,,
1149855785662312448,1149855785662312448,1562981957000,2019-07-13,09:39:17,CST,1149852239806136321,crawl_hd,Watch Crawl (2019) Online For Free On 123Movies,,How to Watch Crawl Online Free? [opEnlOad]Crawl!(2019) Full Movie Watch online free HQ [DvdRip-HINDI]]Crawl ! (2019) Full Movie Watch online free123 Movies Online!! Crawl (2019)  You Can Download Here →  http://cgvmovie.com/movie/511987/crawl.html … #CrawlMovie #TheCrawlMovie #Crawl #HORROR pic.twitter.com/KQbZ2GcU6p,[],['http://cgvmovie.com/movie/511987/crawl.html'],['https://pbs.twimg.com/media/D_UbuVxU8AAvUPS.jpg'],0,0,1,"['#crawlmovie', '#thecrawlmovie', '#crawl', '#horror']",[],https://twitter.com/crawl_hd/status/1149855785662312448,,,0,,,
1149855775050915843,1149855775050915843,1562981954000,2019-07-13,09:39:14,CST,3383960331,_markiir,christian 〽️,,Goin to see #Crawl 👀,[],[],[],1,0,3,['#crawl'],[],https://twitter.com/_markiir/status/1149855775050915843,,,0,,,
1149855394245857281,1149855394245857281,1562981863000,2019-07-13,09:37:43,CST,56287629,joegarcia_nba,Joe Garcia,,This year’s good bad movie... #Crawl! Absolutely loved it though!! Apex Predator All Day,[],[],[],0,0,0,['#crawl'],[],https://twitter.com/JoeGarcia_NBA/status/1149855394245857281,,,0,,,
1149855184316747777,1149855184316747777,1562981813000,2019-07-13,09:36:53,CST,7513972,windog,Doug Boehner,,"When the first alligator makes its initial appearance in #Crawl, I almost died in my seat. Never had a jump scare catch me so off-guard. See it with a big rowdy crowd. It’s so much more fun. Total roller coaster ride.",[],[],[],0,0,0,['#crawl'],[],https://twitter.com/windog/status/1149855184316747777,,,0,,,
1149855024136278017,1149855024136278017,1562981775000,2019-07-13,09:36:15,CST,259857436,jason_sheppard_,Jason Sheppard,,"Just returned from #Stuber not even realizing @MiraSorvino was in it however the second I saw her, it was an instantaneous pleasure.",['mirasorvino'],[],[],0,0,1,['#stuber'],[],https://twitter.com/Jason_Sheppard_/status/1149855024136278017,,,0,,,
1149854455883419648,1149854455883419648,1562981640000,2019-07-13,09:34:00,CST,838976802781483010,thereeltalkk,The Reel Talk,,My review for Crawl is now up! Check out why I think this is definitely the movie to check out this weekend!   https://youtu.be/Ege_JMdbOC8  #Crawl #CrawlMovie #MovieReview #TheReelTalk pic.twitter.com/eXYW8uCWIY,[],['https://youtu.be/Ege_JMdbOC8'],['https://pbs.twimg.com/media/D_UaiEuU4AAygh6.jpg'],0,0,4,"['#crawl', '#crawlmovie', '#moviereview', '#thereeltalk']",[],https://twitter.com/TheReelTalkk/status/1149854455883419648,,,0,,,
1149854157928636416,1149854157928636416,1562981569000,2019-07-13,09:32:49,CST,169600310,anthonyin3d,Anthony Carter,,I need more aquatic man-eating critter movies from @AlexandreAja in my life. #Piranha3D and #Crawl are my happy place. Or a #Scream. He'd make an amazing Scream movie.,['alexandreaja'],[],[],0,0,0,"['#piranha3d', '#crawl', '#scream']",[],https://twitter.com/anthonyin3D/status/1149854157928636416,,,0,,,
