user,rojo,crawl,stuber,thefarewell,bethanyhamiton
Malcolmdupri,0,0,0,0,0
Manizlover,0,0,0,0,0
MarcAnthony,0,0,0,0,0
MarlenaStell,0,0,0,0,0
MarvelStudios,0,0,0,0,0
MaryQueener59,0,0,0,0,0
MastersofLoveM,0,0,0,0,0
McDonalds,0,0,0,0,0
MessyDeskGames,0,0,0,0,0
Mexicanitasmx,0,0,0,0,0
MichaelMatteoRo,0,0,0,0,0
MichaelVBoule,0,0,0,0,0
MiguelAniston7,0,0,0,0,0
MikeMiranda11,0,0,0,0,0
MikeVanderbilt,0,0,0,0,0
Mile_Zee,0,0,0,0,0
MiraeCat,0,0,0,0,0
MissMaimePeas,0,0,0,0,0
Mixeyyy1,0,0,0,0,0
MoistCr1TiKaL,0,0,0,0,0
MontyGeer,0,0,0,0,0
MookeDaGod,0,0,0,0,0
MorrowD33,0,0,0,0,0
MotorcycleMagUs,0,0,0,0,0
MovieMediocre,0,0,0,0,0
MrCianTwomey,0,0,0,0,0
MrLukeJenner,0,0,0,0,0
Mr_DrinksOnMe,0,0,0,0,0
MurrellDan,0,0,1,0,0
MzladiCal,0,0,0,0,0
N8ifinity,0,0,0,0,0
NAPAWF,0,0,0,0,0
NaveenChandler,0,0,0,0,0
Nazzman,0,0,0,0,0
NeonNeverSleeps,0,0,0,0,0
NewMediaSD,0,0,0,0,0
NewberryLibrary,0,0,0,0,0
NextBestPicture,0,3,4,9,0
Nike,0,0,0,0,0
NintendoAmerica,0,0,0,0,0
Nnamdi47648955,0,0,0,0,0
Noi_X,0,0,0,0,0
Nomsa53396822,0,0,0,0,0
NylaRoseBeast,0,0,0,0,0
OMGkee,0,0,0,0,0
OakleysBistro,0,0,0,0,0
OasisFMChile,0,0,0,0,0
OctoberHell,0,0,0,0,0
Ohrangutang,0,0,0,0,0
OneElevenChi,0,0,0,0,0
OnePieceAnime,0,0,0,0,0
PAS0LINI,0,0,0,0,0
PDSharp1,0,0,0,0,0
PHILANTHROPYCCC,0,0,0,0,0
PIVOTGANG,0,0,0,0,0
PPLAreTerrible,0,0,0,0,0
PRforAnyone,0,0,0,0,0
PaladinAmber,0,0,0,0,0
PanicPoke,0,0,0,0,0
PapaJohns,0,0,0,0,0
Paparazzi4U,0,0,0,0,0
ParkPlaid,0,0,0,0,0
Paujoyas,0,0,0,0,0
PearsonUSA,0,0,0,0,0
Pelaovenegas,0,0,0,0,0
PeterAlexander,0,0,0,0,0
PeytonList,0,0,0,0,0
PinkLabelTV,0,0,0,0,0
PivotingInHeels,0,0,0,0,0
PixelCGR,0,0,0,0,0
PlayStation,0,0,0,0,0
Plipla2,0,0,0,0,0
Podern_Family,0,0,0,0,0
Poltrg_Thoughts,0,0,0,0,0
PopTartsUS,0,0,0,0,0
PornAsia1,0,0,0,0,0
PowercutMusic,0,0,0,0,0
PrideOfGypsiesJ,0,0,0,0,0
PrideintheParkC,0,0,0,0,0
Prince_Vince_,0,0,0,0,0
ProperOpinion,0,0,0,0,0
Qwipster,0,0,0,0,0
R2DZNTS,0,0,0,0,0
RAMRANTS,0,0,0,0,0
Rage_Quit_Rehab,0,0,0,0,0
Raini_Rodriguez,0,0,0,0,0
Ram130cnx,0,0,0,0,0
Ramelcarterfilm,0,0,0,0,0
RaquelC_Diaz,0,0,0,0,0
RaquelR14862334,0,0,0,0,0
RaquelStecher,0,0,0,0,0
RasmussenBros,0,3,0,0,0
Reheaded12,0,0,0,0,0
ReneORD66,0,0,0,0,0
Renton4441,0,0,0,0,0
RepJudyChu,0,0,0,0,0
RepentantSky,0,0,0,0,0
RetroBzar,0,0,0,0,0
RhysHandley2113,0,0,0,0,0
RichLux713,0,0,0,0,0
RingoIsGOD,0,0,0,0,0
RissaBlakeley,0,0,0,0,0
RobBailyRoc,0,0,0,0,0
RobtGLee,0,0,0,0,0
RockSingR10,0,0,0,0,0
Rodrigopeve,0,0,0,0,0
Rtreatwilliams,0,0,0,0,0
RumerRaines,0,0,0,0,0
Russo_Brothers,0,0,0,0,0
RyanBrindleyIU,0,0,0,0,0
Ryan_McMahonn,0,0,0,0,0
SCT_mx,0,0,0,0,0
SECTUR_mx,0,0,0,0,0
SEDEMA_CDMX,0,0,0,0,0
SEGOB_mx,1,0,0,0,0
SGZimmer,0,0,0,0,0
SLSingh,0,0,0,0,0
SLT20201,0,0,0,0,0
SOBSECDMX,0,0,0,0,0
SUBWAY,0,0,0,0,0
SURGE,0,0,0,0,0
SVAVLLC,0,0,0,0,0
SWTheory66,0,0,0,0,0
Sabrina91017730,0,0,0,0,0
SacmexCDMX,0,0,0,0,0
SalamatakGCC,0,0,0,0,0
SamuelHay92,0,0,0,0,0
SamuelWelch4,0,0,0,0,0
SaoirseJackson,0,0,0,0,0
SaraAlfageeh,0,0,0,0,0
SaraStapane_,0,0,0,0,0
ScarlettDelage,0,0,0,0,0
ScaylenRenvac,0,0,0,0,0
SeanTho67849696,0,0,0,0,0
Shady_Bodo_1,0,0,0,0,0
ShannonBream,0,0,0,0,0
ShirleyGodbey,0,0,0,0,0
ShoyebK80488460,0,0,0,0,0
SignatureTable,0,0,0,0,0
SimnAndres12,0,0,0,0,0
SimpsonsAlbums,0,0,0,0,0
SirFilmFreak,0,0,0,0,0
SmarkSister,0,0,0,0,0
SnapDeezeThanos,0,0,0,0,0
SneezyFapper,0,0,0,0,0
SonySantaMonica,0,0,0,0,0
SpiderManMovie,0,0,0,0,0
Sprite,0,0,0,0,0
StarRegistry,0,0,0,0,0
StephenAmell,0,0,0,0,0
StevenUnrue,0,0,0,0,0
Stonewall_77,0,0,0,0,0
SubmitMyTrack,0,0,0,0,0
SunKingBrewing,0,0,0,0,0
SuperKingofBros,0,0,0,0,0
SussexCoChicken,0,0,0,0,0
SyndicateChi,0,0,0,0,0
TKOpresents,0,0,0,0,0
TRAFICOBAZAR,0,0,0,0,0
TSG_PR,0,0,0,0,0
TaraDBennett,0,0,0,0,0
TariqAldowaisan,0,0,0,0,0
Taylorrob28Rob,0,0,0,0,0
That0therGeorge,0,0,0,0,0
TheAmazingDave1,0,0,0,0,0
TheBabylonBee,0,0,0,0,0
TheGuerrillaRep,0,0,0,0,0
TheInSneider,0,0,0,0,0
TheNintengal,0,0,0,0,0
TheNotoriousMMA,0,0,0,0,0
TheRealOJ32,0,0,0,0,0
TheReplacements,0,0,0,0,0
TheTeriGamble,0,0,0,0,0
TheWildIndigo1,0,0,0,0,0
TheWizardofAss,0,0,0,0,0
The_DCEU,0,0,0,0,0
The_Greek_Geek_,0,0,0,0,0
Theburger92,0,0,0,0,0
ThehorseCapper,0,0,0,0,0
ThemeParkDustin,0,0,0,0,0
Timcast,0,0,0,0,0
Timjobs98,0,0,0,0,0
Toastiewiththe,0,0,0,0,0
TomHolland1996,0,0,0,0,0
TrueKofi,0,0,0,0,0
Tu_IMSS,0,0,0,0,0
TurismoCDMX,0,0,0,0,0
TwitterSafety,0,0,0,0,0
TylerSickels6,0,0,0,0,0
UnUnderscore,0,0,0,0,0
UnbridledMd,0,0,0,0,0
UncommonPrince,0,0,0,0,0
UnluckyHeroine_,0,0,0,0,0
UrbinaRiojas,0,0,0,0,0
UrrutiaJIU,0,0,0,0,0
ValCleans,0,0,0,0,0
VirgilFilms,0,0,0,0,0
VivaLaxIndia,0,0,0,0,0
WTHQ_RT,0,0,0,0,0
WadeWil36606087,0,0,0,0,0
WeAreChilpa,0,0,0,0,0
Wendys,0,0,0,0,0
WestJaden24,0,0,0,0,0
Winter,0,0,0,0,0
YTConnected,0,0,0,0,0
YanceyMaya,0,0,0,0,0
YanksInSeven,0,0,0,0,0
YaraShahidi,0,0,0,0,0
YesterCades,0,0,0,0,0
YolaDiaLA,0,0,0,0,0
YosonSolo,0,0,0,0,0
ZevShalev,0,0,0,0,0
_Mr_Padgett_,0,0,0,0,0
__yunglexi,0,0,0,0,0
_beall_,0,0,0,0,0
_mckennnnaa_,0,0,0,0,0
_rachelyang,0,0,0,0,0
_watch_ksa,0,0,0,0,0
abrahamyaelcv,0,0,0,0,0
actor_md,0,0,0,0,0
actorkriscarr,0,0,0,0,0
adriaarjona,0,0,0,0,0
aleeshacpr,0,0,0,0,0
aliciamalone,0,0,0,0,0
allan_cheapshot,0,0,0,0,0
almjnwntsarh,0,0,0,0,0
alphavdesign,0,0,0,0,0
alteredground,0,0,0,0,0
amoudinoura13,0,0,0,0,0
amy12368,0,0,0,0,0
andrewscottbell,0,0,0,0,0
annesley_lia,0,0,0,0,0
annette14449814,0,0,0,0,0
antabert,0,0,0,0,0
anthonyjeselnik,0,0,0,0,0
antonio_green,0,0,0,0,0
army6_q,0,0,0,0,0
ashley_heyer,0,0,0,0,0
austute119,0,0,0,0,0
azizeeh23,0,0,0,0,0
azorohio,0,0,0,0,0
baley23345732,0,0,0,0,0
bdjackforhad,0,0,0,0,0
beachbikes,0,0,0,0,0
beadequintana,0,0,0,0,0
bellathorne,0,0,0,0,0
benshapiro,0,0,0,0,0
bigjohnro55,0,0,0,0,0
billburr,0,0,0,0,0
bizarrolivecl,0,0,0,0,0
blackmotherfilm,0,0,0,0,0
blerdgasms,0,0,0,0,0
blockhedz,0,0,0,0,0
bloodnblackrum,0,0,0,0,0
bloomfieldbops,0,0,0,0,0
bmoviesd,0,0,0,0,0
boby_curse,0,0,0,0,0
bowlestrek,0,0,0,0,0
bradley_s_perry,0,0,0,0,0
braulio_man,0,0,0,0,0
brianjacks,0,0,0,0,0
brianwaves42,0,0,0,0,0
bridgitmendler,0,0,0,0,0
broken_social,0,0,7,4,0
bryanalvarez,0,0,0,0,0
byers8205,0,0,0,0,0
calvinmcgonagle,0,0,0,0,0
carmenrionmoda,1,0,0,0,0
carolaverygrant,0,0,0,0,0
catdanlis,0,0,0,0,0
cevinkouch,0,0,0,0,0
chamuchula,0,0,0,0,0
chasing_molly,0,0,0,0,0
cherrybracelets,0,0,0,0,0
chillingmovies,0,1,1,0,0
chinamcclain,0,0,0,0,0
choshiab,0,0,0,0,0
chris_tardio,0,0,0,0,0
chrissteinplays,0,0,0,0,0
christophervele,0,0,0,0,0
chuckfleegman,0,0,1,0,0
clarkewolfe,0,1,0,0,0
cliffWISH8,0,0,0,0,0
coachbrucepearl,0,0,0,0,0
coltsNation365,0,0,0,0,0
compassion,0,0,0,0,0
conansmith96,0,0,1,0,0
condessaleather,1,0,0,0,0
consequence,0,4,1,2,0
cosmovarietyhr,0,0,0,0,0
craiggerbird,0,0,0,0,0
cultura_mx,0,0,0,0,0
curtis9413,0,0,0,0,0
cuteaasha,0,0,0,0,0
cwilsonsongs,0,0,0,0,0
daejacollier,0,0,0,0,0
dailystoic,0,0,0,0,0
damndinally,0,0,0,0,0
danblackroyd,0,0,0,0,0
danketch69,0,0,0,0,0
davemeltzerWON,0,0,0,0,0
daylilybella,0,0,0,0,0
deanbc1,0,0,0,0,0
desertdaze,0,0,0,0,0
dgjeans,0,0,1,0,0
dicker_graham,0,0,0,0,0
diellemusicuk,0,0,0,0,0
dironesporridge,0,0,0,0,0
ditzyfitzy86,0,0,0,0,0
domcorona_,0,0,0,0,0
dominos,0,0,0,0,0
dr_unimpressed,0,0,0,0,0
drlouisewriting,0,0,0,0,0
dvdwlshhh,0,0,0,0,0
dwallacewells,0,0,0,0,0
earnestjeremy,0,0,0,0,0
ed_solomon,0,0,0,0,0
edicola_di,0,0,0,0,0
ej_hazzard,0,0,0,0,0
ekm34981,0,0,0,0,0
ellabalinska,0,0,0,0,0
ellamaesbtq,0,0,0,0,0
ellfog,0,0,0,0,0
elonmusk,0,0,0,0,0
embryoroom,0,0,0,0,0
emilianojuanca,0,0,0,0,0
emilyyoshida,0,0,0,0,0
encinavicencio1,0,0,0,0,0
erickohn,0,0,0,0,0
fafifochile,0,0,0,0,0
fbowpod,0,0,0,0,0
fdobarrientos,0,0,0,0,0
fearamid,0,0,0,0,0
ffmedianews,0,2,2,0,0
fiShandn0odles,0,0,0,0,0
filmtrials,0,0,0,0,0
firstwefeast,0,0,0,0,0
fizzandginger,0,0,0,0,0
fotechcl,198,0,0,0,0
freshmovietake,0,1,0,0,0
ftr_cast,0,1,0,0,0
galkamalka_,0,0,0,0,0
garriganjim,0,0,0,0,0
garyvee,0,0,0,0,0
gaytimesmag,0,0,0,0,0
geekheavy,0,0,0,0,0
geekinoutsobier,0,0,0,0,0
germanottateam,0,0,0,0,0
ghostgarbage,0,0,0,0,0
ginatorres,0,0,0,0,0
girlsontopstees,0,0,0,0,0
gnarlynaims_,0,0,0,0,0
go2Crossroads,0,0,0,0,0
gotsnow10,0,0,0,0,0
gypsyglambykate,0,1,0,0,0
h_alharbi_1,0,0,0,0,0
hadestown,0,0,0,0,0
halfformedopin1,0,0,0,0,0
hananhobilak,0,0,0,0,0
hauslabs,0,0,0,0,0
hausofjoel,0,0,1,0,0
hazoki_97,0,0,0,0,0
hffnh1,0,0,0,0,0
high1ife,0,0,0,0,0
hipvelma,0,0,0,0,0
historylvrsclub,0,0,0,0,0
hitsville,0,0,0,0,0
hodgetwins,0,0,0,0,0
houseofnodfilms,0,0,0,0,0
iamalmostlegend,0,0,0,0,0
ihccbusiness,0,0,0,0,0
ii_whisper,0,0,0,0,0
indypiesandpint,0,0,0,0,0
indystyle,0,0,1,0,0
isabelleg319,0,0,0,0,0
itsNICKSNIDER,0,0,0,0,0
itsjoelpimentel,0,0,0,0,0
itswillmanning,0,0,0,0,0
jamesw033,0,0,0,0,0
jamiekilstein,0,0,0,0,0
jarrahdiana,0,0,0,0,0
jasonscottlee,0,0,0,0,0
jasontpowell,0,0,0,0,0
jaybriscoe84,0,0,0,0,0
jctdallas,0,0,0,0,0
jeffconway,0,0,3,0,0
jennxlai,0,0,0,0,0
jillian1001,0,0,0,0,0
jimmycthatsme,0,0,0,0,0
jlr1988,0,0,0,0,0
